콘텐츠,동영상 제목,동영상 게시 시간,길이,조회수,시청 시간(단위: 시간),구독자,예상 수익 (KRW),노출수,노출 클릭률 (%)
q3RbiJrysZs,다이어트비빔면,"Sep 4, 2024",59,5703,39.3638,0,726.413,22867,5.43
wt5EUim0vEQ,큰일입니다 위가 늘었어요 열라짬뽕 먹방,"Sep 1, 2021",840,5688,562.7745,4,11019.824,69987,6.64
SzVrwD7Nrms,자극적인 황금올리브 먹방입니다!!,"Nov 9, 2023",684,5685,458.0017,2,11347.379,71754,6.41
skhMchNL68c,역시 추운 날에는 뜨끈한 골뱅이어묵탕 먹방,"Nov 23, 2023",1178,5683,1057.9507,3,18185.707,45822,5.2
SB6WzmCaWAo,삐끼삐끼춤,"Sep 14, 2024",15,5673,14.0324,1,538.204,12939,3.56
qpSZ7nvNLMg,맵찔이도 가볍게 먹을 수 있는 불족발 먹방,"Jun 28, 2022",794,5635,491.3597,5,13203.027,62852,7.07
VU6U2KxytCg,우울증치료제 사천짜파게티 먹방입니다!!,"Mar 9, 2023",672,5629,341.4714,9,10174.869,58325,8.61
66MLirjluLE,즐추,"Sep 16, 2024",12,5617,8.4594,0,481.728,15760,1.45
ekKVpUpZZys,저도 맵찔이 할래요 매운야끼소바 먹방,"Jun 7, 2022",817,5594,547.1575,0,12581.725,70950,6.3
Tpz0odTi1SQ,존예 알바생이 술 한잔 더 하자고 할때,"Apr 20, 2023",34,5544,29.3425,0,724.381,44180,4.75
MiabHumKGoM,요즘 핫하던데 홍콩반점 먹방,"Jul 13, 2024",756,5538,427.8549,3,10714.065,70717,6.46
QqAJ-WASQKI,다이어트라면,"Sep 10, 2024",59,5535,34.7278,1,647.759,21445,3.77
sUi2oLNe4k8,고양이 지능 테스트,"Jun 27, 2021",23,5444,18.2661,4,559.779,19570,7.04
oizkL3PpDvk,단발병 걸린 사람에게 보여주세요 (더 단발),"Feb 7, 2023",42,5432,32.3773,0,784.073,47632,4.78
kom6g-SsNko,나쁜남자의 곱도리탕 먹방,"May 30, 2022",978,5411,415.9226,6,9584.484,66638,6.93
5VcHsf3KTgA,하나도 안 매운데요 양지팔당오징어 먹방,"Feb 11, 2025",928,5395,483.9454,3,10678.585,104636,3.75
PRgFXgTXvEE,바밤바 삼행시2,"Nov 27, 2021",27,5377,12.4866,1,446.522,15450,3.17
_R3D-yY7m50,매운맛 못 먹으면 시키지못하는 불찜닭 먹방입니다!!,"Feb 21, 2023",838,5372,601.638,3,12424.278,56501,6.29
Ky-dihBOgsQ,별거 없네 팔당오징어,"Dec 11, 2024",853,5205,530.8666,5,12115.82,77992,4.97
yTrUpUIZgTM,1인분 돼지게티 먹방입니다!!,"Jan 4, 2022",688,5200,277.9963,6,8846.686,51276,9.06
2LX3zrAmKF0,죄송합니다 마라떡볶이 먹방,"Jul 21, 2023",969,5167,626.8183,2,12189.826,47181,7.49
uIOgDe8FIG8,몬스터헌터 고기먹방,"Mar 6, 2025",514,5115,228.8088,2,7133.483,100757,3.82
O1xs3OqK7dQ,밥 두공기 도전 먹방 곱도리탕먹방입니다!!,"May 17, 2023",875,5003,505.0385,5,12657.841,52675,7.08
5MS89aCoNWk,돌겠네 오므라이스 먹방,"Dec 23, 2023",887,4984,477.6419,5,10314.936,58374,6.13
sPdpkfG7aSI,[용사] 너무많아!! 홈플러스 셰프치킨 먹방,"Jan 6, 2017",2528,4953,252.9902,1,7917.145,48213,7.63
ycNNXtuZucE,서커스먹방,"Mar 16, 2023",43,4855,23.4667,0,594.584,16403,5.76
BOIA_Thtw9U,치킨 먹는데 옆에서 눈치 줌,"Mar 9, 2024",1389,4817,708.5882,1,12841.123,68400,6.07
7_YOZCVys_U,흰밥에 돼지갈비찜 먹방입니다!!,"Feb 8, 2025",706,4794,392.4912,1,8948.772,93713,3.93
XT_3SVxC9P4,나는 잘 모르겠다 찍먹 피자 먹방,"Jan 5, 2025",858,4781,480.0791,2,11113.979,80417,4.32
3yMb3LSqnog,다이하는 브이로그,"Sep 14, 2023",763,4761,532.456,3,10745.846,41470,7.62
awToU8IHe-Q,세 조각만 먹으려고 했었다 존스페이보릿 피자 먹방,"Nov 20, 2023",793,4753,390.7588,6,8926.49,59425,6.96
87f65TzYgc0,생존본능,"Jun 28, 2024",12,4699,11.3486,0,524.462,22552,5.87
pPoDQvR_JCA,이상한 거 쪽갈비 먹방입니다!!,"Sep 13, 2023",1015,4684,558.5694,5,11798.075,43775,6.71
8gGkM7aObE8,몇 입 무니 없네 고추장 비빔밥 먹방,"Dec 14, 2023",853,4665,389.0533,3,10242.431,51047,7.16
9aZ_3pMJpAU,치즈돈까스,"Jul 12, 2023",18,4659,11.8587,4,692.655,26591,4.26
tz6hBK0ag8c,감사합니다 숯불양념구이 먹방입니다!!,"Jul 24, 2023",796,4590,396.9768,3,9488.751,43261,8.32
W-2m8zgkMM8,선양이와 귀향했습니다,"Jun 18, 2024",1073,4579,602.8005,3,10998.501,59074,5.3
T5tVHBjOus8,초코우유,"Sep 8, 2024",54,4556,26.6937,1,491.347,15919,1.73
MIwNw2Q5HW0,매워서 우는 것이 아닙니다 미친만두 먹방...,"Oct 23, 2018",655,4440,253.4818,11,8018.043,54979,6.71
cMA3-eqB2hE,김밥천국 근황,"Jun 7, 2023",49,4427,25.123,0,803.958,31264,7.77
8ozn6hB1YZA,과유불급 어묵탕 먹방입니다!!,"Feb 13, 2024",892,4422,529.0834,1,11159.845,46621,5.44
oWuSJDdxoS0,야외 먹방 일기 9900원 무한리필 로봇치킨집,"May 26, 2019",238,4350,136.0541,2,5020.614,53881,6.52
0e2metj-GeQ,비빔면 3봉 도전 먹방입니다!!,"May 30, 2024",679,4286,262.3999,4,7418.913,42986,8.54
PFyTK9IBp-4,야외 먹방 일기 부대찌개,"Nov 18, 2018",229,4251,130.9906,1,4270.392,53853,6.34
dxY_abeYTl0,츤데레,"Jul 18, 2024",24,4244,15.7503,1,546.816,24421,5.9
VmM4ODB0Rvk,김치볶음밥을 조금만 하려고 했었다,"Sep 17, 2024",764,4166,413.9407,0,9604.212,49747,6.21
Nl0BDNkdElA,저 볶음밥 싫어합니다 팔당오징어 먹방,"Nov 11, 2021",711,4128,368.4981,1,9188.512,48952,6.59
OWe-5xEd-48,저는 홍어랑 안 맞는 거 같습니다,"Mar 2, 2023",53,4087,30.4421,0,573.481,31049,5.55
rkIHkCl5Fuc,[용사] 불닭틴트죽음의4호 핵불닭볶음면 먹방입니다.,"Feb 2, 2017",721,4062,134.5132,7,4904.072,43100,7.71
no8ZuR6j_LI,올해는 거짓말 안하려구요 별로 안매운 엽기닭볶음탕 먹방입니다!!,"Jan 7, 2022",897,4019,364.2609,1,8420.274,56581,5.67
qhyAbyHe4f0,짐승같은 남자의 맘스터치 햄버거 먹방입니다!!,"Nov 24, 2023",989,4015,474.5466,7,8986.975,43740,6.51
7bs_lm3xius,조절 들어갔습니다 볼케이노 치밥 먹방입니다!!,"May 23, 2023",584,3999,164.7198,6,6841.128,41334,8.25
jzoF8ywscOw,극뽁,"Sep 6, 2024",20,3968,10.8365,2,410.424,10618,1.1
00UXtF83LyA,야외 먹방 일기 찜질방,"May 13, 2018",169,3937,101.1339,2,4226.44,52207,5.81
2L6j_zd206Y,고깃집 미나리 특,"Mar 14, 2023",32,3930,15.5718,0,583.941,12779,3.97
cbe0oOLzSno,캡사이신 짜파게티 먹방입니다!!,"Nov 6, 2024",709,3914,333.0653,4,8232.632,50077,6.1
Tk0pJ1vfRPs,술도둑 알찜먹방,"Nov 10, 2024",878,3895,334.3229,0,7541.112,50588,6
zEJYVE7RyEQ,야외 먹방 일기 고기뷔페,"Oct 28, 2018",279,3892,149.4324,0,5508.796,44924,6.39
_JdpGqQQSQc,오모리점보도시락 다 먹기 성공 먹방,"Feb 26, 2024",984,3876,442.8759,0,8714.831,53729,5.14
ZPRT3pY-5tc,내가 사는 비빔면,"May 3, 2023",17,3875,10.3668,3,513.055,23249,3.3
Fyr6jXTIT98,선정적인 닭발 먹방입니다!!,"Jan 8, 2024",839,3874,435.9303,2,8330.455,43119,5.73
SsYjOoBHPLE,난 모르겠다 갈비족발 먹방,"Nov 18, 2024",748,3868,287.9907,3,7376.52,54413,5.68
Z8fbuwTo5Ug,대구 잡채밥무봤나,"Jun 9, 2024",815,3867,393.4739,0,9007.867,38432,6.76
7_LaT7cCwNM,불지옥 아니잖아?? 불지옥갈비찜 먹방,"Sep 16, 2022",615,3858,321.1892,1,7838.352,40926,7.06
uPvArgR5E-Y,새해 다이어트 다짐 9일차 피자는 맵습니다 쏘핫피자먹방,"Jan 19, 2023",661,3849,360.6879,0,9029.649,41515,6.49
_0IbGYLyQUo,캐비어 덮밥 먹방,"Feb 15, 2025",820,3841,357.09,6,8367.099,92354,2.82
bryRdGHayu4,김밥은 2줄이 1인분이다 스페셜 떡볶이 먹방입니다!!,"May 26, 2023",858,3820,448.3734,0,8620.946,31136,7.81
FUljWvdOnyU,다이어트술안주 모듬순대 먹방입니다,"Nov 20, 2024",977,3812,308.2904,0,7479.207,56847,4.7
iHRwOQ_5R1U,시청자분이 요청한 음식 먹는데 겸사겸사 다른것도 주문함 햄버거 먹방,"Oct 28, 2023",980,3810,458.229,1,9668.251,51018,4.78
B3RbKtjkRWQ,이게 러브야 맵소디치킨 먹방,"Dec 15, 2024",745,3774,319.282,1,7461.812,68517,4.3
kV4l2wo43ig,숨소리가득 매운쪽갈비 먹방,"Aug 16, 2022",824,3774,380.8731,1,8570.226,40062,6.61
dFG5x75qztk,야외 먹방 일기 편의점,"Jul 22, 2018",158,3760,87.4453,3,4406.18,48565,5.92
nSBP5q1R2DQ,다이어트 브이로그를 하려고 했다 일주일 브이로그,"Jan 27, 2022",679,3759,328.0423,4,8235.911,35844,8.53
68X-a8mErG8,건강에 좋은 치맥 먹방,"Feb 27, 2025",790,3736,204.7176,1,6114.724,80087,3.62
xpERPE733vM,요즘에 보기 힘든 떡튀순김 먹방입니다!!,"Feb 9, 2024",870,3728,408.6917,3,8444.305,39415,6.16
X8Gt3CDpTaY,서울배달물가 비교하는 척 이것저것 배달시켜먹기,"Feb 23, 2024",767,3720,435.116,0,9106.801,46719,5.29
WmCAXZzEn6w,야외 먹방 일기 참치,"May 12, 2019",338,3714,125.893,-1,4312.86,36367,6.56
Re1q8W5RKn8,충주오일장 시장 음식 먹방입니다!!,"Dec 20, 2024",749,3706,310.7674,4,7133.477,65978,3.97
CFYbMxrhaco,안 맵습니다 툴립닭발 먹방입니다,"Aug 18, 2021",731,3704,307.0348,2,6486.511,47417,6.41
 -n4_fI_-c94,소맥에 방어회 먹방입니다!!,"Jan 15, 2024",1195,3679,678.2096,4,11028.641,37687,4.52
8c-9GEii3oA,공기밥만 5개 시킨날 짜글이 먹방입니다,"Feb 23, 2022",695,3643,238.2941,4,6373.974,33625,9.4
_0-TduO1I9g,다른 의미로 매운 참치김치찌개 먹방입니다!!,"Dec 27, 2024",765,3599,287.2905,1,6491.77,63183,4.44
z9q9n-X8nUM,군대리아 교본,"Oct 3, 2020",336,3584,141.516,7,5799.854,26968,11.39
Zc5ZU1gG7OE,야외먹방일기 모둠초밥,"May 14, 2022",58,3581,27.4244,1,522.331,29793,4.17
NQu-0z3EPl8,천칼로리 다이어트 일주일 브이로그,"Mar 30, 2022",1087,3567,486.8268,1,9096.988,37652,6.92
 -jZW82X1eSM,비빔면 5봉지 도전 먹방입니다!!,"Apr 24, 2023",682,3565,300.136,2,7981.038,42774,6.68
1jD9gMKmg3g,조금 맵군요 D진다치킨 먹방입니다!!,"Jul 29, 2020",506,3533,152.0695,1,6299.399,32366,7.77
ELyJ8JgS6zU,상추도둑과 고추참치비빔밥 먹방입니다!!,"Apr 12, 2023",808,3531,292.4624,0,6458.764,41151,7.18
QdeS5Y9GZJ0,쉽다 미니점보라면 먹방,"Nov 2, 2024",610,3529,267.6494,2,6770.001,62489,4.54
NjINcAUJxv4,헬리콥터,"Aug 25, 2024",13,3510,5.9689,1,332.315,9855,2.7
d7jcds_ncPM,쁘띠해피 썬더치킨 먹방입니다!!,"Oct 25, 2022",924,3504,321.6666,3,7258.49,40719,6.84
0tI0wCIeT2k,과금이 혜자인 이유,"Aug 27, 2024",19,3486,9.7378,0,357.496,9606,0.74
3vSPLIIODB0,피지컬100,"Aug 14, 2024",12,3481,8.1619,1,309.172,9893,1.11
5nkveDzBef8,야외 먹방 일기 아비꼬카레,"Mar 4, 2018",166,3466,63.3562,2,3302.796,28498,6.73
 -OxVNucSGLw,일상 먹방 아닙니다 조선시대 밥상 먹방이에요,"Dec 2, 2024",826,3461,277.9919,0,6550.379,53537,5.28
EN-Z47awxWE,기강다지기 실비떡볶이 먹방,"Dec 27, 2022",515,3458,252.9584,0,6902.083,34177,7.29
5mfjq2siMVk,남자친구 선물 추천,"Oct 4, 2023",37,3448,20.9982,1,411.863,25009,4.03
GgxhU3wRLHw,말이 필요없다 형제닭발 먹방,"Jan 15, 2025",933,3409,292.7772,1,6411.053,66605,3.61
MHJMlfP039o,저탄고지인데 막국수 한 젓가락만... 족발 먹방입니다!!,"May 6, 2024",647,3372,238.0458,2,6489.977,39659,6.98
1touknV7BPY,도쿄 해리포터 보러 가서 한 끼도 안 먹기,"Aug 28, 2024",641,3365,332.0715,1,7637.801,44483,5.46
e34fnst3_Gc,밥 한 공기 밖에 못 먹는 남자의 당꽁김 먹방입니다!!,"Mar 1, 2024",840,3365,314.6865,-1,7914.442,41702,6.13
ugKzfqO0jVA,공간춘도전 먹방,"Nov 17, 2023",877,3356,340.2732,1,7181.003,42604,6.22
_O0muHwyP9E,야외 먹방 일기 초밥뷔페,"Jul 15, 2018",363,3352,156.2028,1,4646.138,46933,5.07
I70fl5DC8bU,두마리 같은 한마리 먹방입니다!!,"Apr 18, 2023",1137,3350,352.6291,4,7396.692,45780,5.75
vWIkNFvvs34,제육 맛있게 먹기 우유케이크 먹방,"Mar 4, 2025",683,3318,230.8284,1,5548.089,91613,2.75
HnmXhgwMJZc,별로 안 맵네요 롯데리아 미친만두 먹방,"Jun 30, 2023",638,3314,304.0419,2,6985.492,39047,5.28
qQvnwP8RlsE,1인분 피자 먹방입니다!!,"Oct 7, 2024",815,3309,297.8532,2,7057.736,50297,5.29
MFUm_RLBwKs,햄버거 5개 도전 먹방입니다!!,"Sep 3, 2023",854,3283,355.8214,2,8044.456,32065,7.2
smokRO2U7Bc,요리할 때 특,"Aug 31, 2024",43,3257,12.7478,0,414.782,9431,0.68
MLo_GlTIRiI,불보쌈 대짜 못먹는 남자의 불보쌈 먹방,"Aug 24, 2022",801,3215,347.1291,0,7893.945,32112,6.46
e93RgcBzeOo,야먹일 들기름메밀국수,"Aug 20, 2023",60,3204,29.4364,2,457.228,34350,3.88
HN3yrgVAZ3Y,알통팩치킨 먹방입니다!!,"Dec 7, 2022",893,3195,323.836,1,7224.89,32063,7.59
 -FGk5VppzCM,오래 연애하는 비결,"Apr 18, 2024",23,3177,11.1562,2,379.386,18283,4.7
hWBrliJYLv4,야외 먹방 일기 치즈돈까스,"Jan 6, 2019",203,3175,88.7742,2,3943.22,49867,4.92
0ezqa1wMfv0,호캉스가서 살 빼려고 했었다,"Oct 24, 2023",897,3162,378.7093,1,7523.259,42032,5.86
2sAMMeKpmLA,소통의 중요성 고추바사삭 먹방입니다!!,"Oct 3, 2023",827,3150,300.5429,0,5896.188,34117,7.39
hT3j1pl1H94,밥 한 공기만 먹을 거에요,"Sep 21, 2023",38,3147,17.9423,2,485.05,8691,2.5
VtQ2R0-9c1I,먹방 5년차이,"Feb 7, 2023",34,3141,15.4925,0,469.963,19212,5.92
y6wOGeUTJEw,내 귀에 고양이,"Jul 4, 2024",26,3135,14.7287,1,387.847,10309,8.5
ryIYdb3wUoc,비빔면은 살 안찜,"May 13, 2023",44,3134,19.7885,1,501.835,20599,4.33
W_LS01itiDI,엄마 사랑해 순대범벅 먹방입니다!!,"Dec 6, 2023",735,3123,285.6624,0,7104.77,30671,7.86
 -xTti_3nJM0,저는 매운 감각이 없는 사람입니다 매운쪽갈비 먹방,"Nov 4, 2021",957,3120,354.8692,0,8046.106,37003,5.49
N-uBQqC4fEs,야외 먹방 일기 돈까스,"Apr 29, 2018",177,3094,76.6975,1,3273.249,37889,5.66
KcBG3Xr6HRs,[용사] 지코바 치밥은 진리,"Jan 24, 2017",1129,3076,89.4419,6,3334.329,41628,6.08
3wTrbHDB5NY,풀은 살 안쪄 포케 먹방,"Jan 11, 2025",1009,3074,358.7011,1,7179.072,65374,3.29
z9Vp0afYok4,찜닭은 매워봤자 찜닭이다 매운찜닭먹방,"May 17, 2022",901,3071,272.2919,1,6454.023,32728,8
jOap9Z9EHL4,햇반 한 공기 제육볶음 먹방입니다!!,"Jun 3, 2023",750,3045,215.9605,0,5610.343,37579,6.99
guUJ2I5au9k,저 이제 편식하려구요 송주불냉면 먹방,"Aug 13, 2024",929,3022,290.9024,0,6846.1,38630,6.36
PurowH5YK8g,요리를 먹는 기분 맛피아햄버거 먹방,"Jan 19, 2025",750,3000,278.137,0,7280.134,74670,2.7
BodyRynJtro,신메뉴탐방기 살살치킨,"Mar 2, 2024",585,2994,120.084,3,5764.493,29988,8.74
Gu_NNuOVEMY,한국인이 제일 좋아하는 결말,"Nov 16, 2023",20,2992,10.4248,0,370.465,17754,6.04
_Lc2Tvyyr8Y,전 구워먹기,"Jan 27, 2025",594,2986,212.7823,1,5467.844,71389,3.4
3F7E7KWK0VM,좀 치네 핵짬뽕빵 먹방입니다!!,"Nov 30, 2023",684,2978,298.1621,0,6609.964,39990,4.45
cLTcxiOhXeY,료이끼덴카이,"Nov 28, 2024",858,2970,307.8278,2,6534.035,48713,4.1
AYK25EMVAI8,연어초밥 비교먹방,"Jul 1, 2024",872,2962,319.3321,0,6973.374,44554,5
7dO8Y1RRH44,아저씨폰,"Aug 29, 2024",27,2943,6.2946,1,214.525,8937,0.91
djZwgT6LWX4,짱구분장 짱구의 아침 먹방입니다!!,"Sep 1, 2020",573,2942,149.8844,-1,5573.451,33686,7.13
EKL_4VYCcjM,화가 나는 불막창 먹방,"Sep 7, 2022",769,2929,302.4576,0,6778.825,28405,6.03
2MaDVd_ic50,청양치킨 먹방입니다!!,"May 13, 2023",762,2924,239.0886,1,5178.775,33064,6.51
2oabWAkKKHQ,강릉 가서 문어탕수육 먹기,"Dec 21, 2023",545,2923,260.0758,1,6040.439,38144,5.19
sMinwYsX7wc,한국식 포케 회덮밥 먹방입니다!!,"Jan 17, 2025",920,2914,339.7137,2,6933.71,64262,2.96
ECjLrbp2WB0,야외 먹방 일기 김밥집,"Sep 23, 2018",149,2886,59.5669,-1,3212.376,41311,5.23
NAIGDqkUfyw,하나도 안 매운데요 3단계 짱구떡볶이,"Jul 5, 2024",760,2877,271.167,1,6132.97,41146,5.35
1Szw_tvX1cQ,면은 화장실 갔다오면 없다 밀면 먹방,"Sep 27, 2023",677,2823,232.4378,1,5506.208,30378,7.34
X__nVZLEl-g,나 캡사이신 알러지 있는 듯 캡사이신라면 먹방,"Oct 21, 2024",803,2822,278.1045,-1,6237.838,41386,4.87
0O9soy0Bn6Y,고양이 풀 뜯어 먹는 소리의 마왕족발 먹방입니다!!,"May 8, 2023",898,2819,329.6662,0,6471.812,29532,6.82
upxYosb9wHw,야외 먹방 일기 뼈다귀해장국,"Mar 18, 2018",142,2810,54.1861,2,2835.477,36229,5.15
xbD8CKSq01g,야외 먹방 일기 코스요리,"Oct 13, 2019",379,2791,134.4053,0,3960.998,37128,5.02
dtt7V4rBIfk,많이는 안 먹고,"May 10, 2023",39,2789,15.7864,1,429.391,10001,6.17
MQ05cqwz85w,?????????????????????,"Feb 17, 2020",1660,2783,86.1659,2,3082.218,40662,5.28
jxbXcz244PM,취미는 줄이는 게 아니다 치킨마요에 맥주 한 잔,"Oct 11, 2024",752,2753,231.7688,0,5507.943,44207,5.01
zvKWJkdlSrQ,개구쟁이 비싼 회덮밥 먹방입니다!!,"Feb 3, 2024",986,2739,396.9139,0,7464.147,27277,4.38
2pGE_56q95Q,나눔의 즐거움,"May 15, 2024",50,2717,16.3501,0,327.802,8937,2.19
FzKWndY8O3w,죄송합니다 마라로제찜닭 먹방,"Jul 14, 2023",905,2707,247.3215,3,6422.356,30070,7.28
VAIpZ5tI09Y,매운 연기 맵부심치킨 먹방입니다!!,"Jul 21, 2021",574,2705,193.4888,1,5482.634,30095,7.21
Nx3_x9PR8ds,애기병진의 파닭 먹방,"Sep 5, 2024",783,2703,177.3651,1,4372.583,35387,5.57
ClGu1z6-f54,라이스 페이퍼 떡볶이 맛,"Sep 8, 2023",23,2700,10.2138,0,369.616,14884,4.74
kaMVJ-X1UMM,햄치즈토스트 한개 먹방,"Apr 11, 2023",25,2698,12.2364,0,376.348,16677,3.55
A2bJAhGwCgA,과하게 안 먹는 법,"Apr 26, 2023",44,2684,12.0468,1,375.612,9279,4.71
gwP8Fi5UqQ8,[용사] 라면은 정기적으로 먹어줘야합니다!! 열라면먹방!!,"Apr 27, 2016",925,2680,106.9782,3,3296.156,29938,7.5
R5JP1C7PzuA,김밥 비빔밥,"Jun 6, 2024",48,2666,17.6277,1,363.395,17464,4.81
x8aJJgeTarg,캡사이신돼지국밥 먹방입니다!!,"Dec 6, 2024",959,2658,323.3706,0,6559.466,50757,3.86
_-ndb_ksd2I,야외 먹방 일기 제육볶음,"Jan 13, 2019",195,2641,73.7292,0,3167.112,28999,6.82
IhnVntBmDpU,다이어트 자퇴했습니다 피시엔칩스 먹방,"Dec 19, 2023",828,2632,266.9972,1,5874.375,25425,7.98
OYYgxlc9Iw8,한 끼도 안 먹은 사람,"Jul 30, 2023",14,2607,5.9123,0,253.234,12087,2.28
0MNAkYA4U1o,야외 먹방 일기 만화카페,"Jun 17, 2018",225,2576,82.5168,0,2743.69,32559,5.72
e2SKVLp4dmo,추억의 군대 냉동 먹방입니다!!,"May 12, 2020",670,2571,131.5921,1,8421.478,26591,8.04
wDs4dTHBE2E,[용사] 김치컵라면으로 ASMR 을 해보았습니다.,"Oct 11, 2016",806,2567,77.4293,2,2292.491,31337,5.62
znWPS6JXtD8,저 이제 덜어먹습니다 부대찌개 풀코스 먹방,"Feb 7, 2024",856,2565,297.2037,1,6080.386,26649,6.25
nJjsETBXCtQ,삼삼데이 삼겹살 먹방,"Mar 3, 2024",799,2563,233.5576,0,5515.524,30516,6.41
UopqclkdksM,야외 먹방 일기 화로구이,"Jun 24, 2018",203,2529,71.5692,1,2640.89,34651,4.86
s6_iOPjYoDE,대전에서 성심당케이크 먹방,"Nov 27, 2024",865,2527,226.7236,0,4899.679,47003,3.94
9xARplWmE7Q,먹방계의 간판의 닭꼬치 맥주 먹방,"Nov 26, 2023",906,2509,307.1644,1,5620.422,27925,6.07
hbfAVBxsYZc,도파민치킨,"Jun 11, 2024",923,2507,304.6947,1,6203.982,29692,5.33
YQtratcxbeU,어린이 병진이는 비빔면 두봉밖에 못 먹어 먹방,"May 5, 2023",695,2491,210.8853,0,5279.644,31756,6.54
NfKUFIwN6to,철들면 특,"Aug 12, 2024",30,2488,8.8418,0,260.951,7981,0.66
os5Dd-amLd0,풀은 살 안쪄 샌드위치 먹방,"Jan 7, 2025",1011,2466,316.3694,0,5995.482,64002,2.85
lUH6HQODW20,라죽장인,"Mar 12, 2023",54,2459,21.8642,1,348.919,15816,5.95
Lb9M9fOYqfI,코로롱 때문에 맵찔이가 됐습니다 지옥맛 튤립닭발 먹방,"Apr 21, 2022",959,2451,282.8296,-1,5882.067,34373,4.68
2itcw5yFoLE,점보비빔면 별거 없네요,"May 8, 2024",780,2445,230.0928,2,5205.624,32682,6.05
5vB2qFTYNAc,오빠막창 먹방입니다!!,"May 15, 2018",1689,2435,180.7764,0,6272.057,19778,6.68
TwHATaXuJtc,교촌 허니레드 반반 콤보먹방입니다!!,"Sep 28, 2019",851,2433,88.5106,0,3497.844,23667,9.19
x7eCSXoliv0,너무 커서 남긴 날 왕돈까스 버거 먹방입니다,"Mar 7, 2024",822,2430,254.8058,1,5410.578,30329,5.87
W25-lQOyJgk,생방송할 때 올라와줄레,"Mar 1, 2025",569,2426,125.6487,3,4616.53,76757,2.19
Eymr98GOFuI,짜글이밥,"Jun 6, 2023",57,2424,15.1559,0,368.834,16442,6.36
00MSO9BcdYk,중화비빔밥 VS 육회비빔밥 먹방,"Jun 3, 2024",870,2404,263.0308,1,5682.139,33062,5.57
4FyWTzxKGzs,버거킹에게 졌습니다,"Aug 7, 2024",53,2395,13.0758,0,318.306,7842,1.43
HTI40jyOziA,돌아온 추억의 볼케이노 치밥 먹방입니다!!!,"Sep 21, 2022",811,2395,214.1045,3,5033.4,27485,7.2
SZS6AYthrB8,새해 복 많이 받으세요 떡국 먹방,"Jan 21, 2025",600,2388,159.1234,2,3885.666,65785,2.45
Ayye9rWF6bQ,덜어 먹을게요 중화비빔밥 크림새우 먹방입니다!!,"May 25, 2023",698,2384,192.1525,0,4629.145,22984,8.67
OT2jKmsnBBk,요즘 절식하고 있어요,"Jun 23, 2024",731,2381,208.3993,0,4878.013,26715,6.95
mnv-hPjXS4E,대패볶음 풀코스 먹방입니다!!,"Apr 8, 2023",817,2377,242.6133,1,5772.486,21685,8.65
4kejfhZRaN0,야외먹방일기 호박꽃마차,"Sep 23, 2023",286,2373,54.3167,3,2206.006,17365,6.21
OYQePCJ07Oo,스팸에 밥 스밥 먹방입니다!!,"Nov 3, 2023",755,2362,207.1726,1,4940.757,29915,6.96
eb-KV5gRcIc,엽떡 많이 약해졌네요 엽떡매운맛 먹방,"May 2, 2022",883,2362,237.2144,0,5743.41,26936,7.16
NA8ryOkkPYo,양념치킨 특,"Jul 30, 2024",27,2361,9.2391,0,250.273,9695,2.41
K1gUTUS4jnw,피자도 먹는 김치떡국 먹방입니다!!,"Jan 16, 2024",750,2338,228.7634,0,5327.384,25283,6.85
MqvgN2rcctM,야외 먹방 일기 초밥,"Apr 1, 2018",181,2335,56.4485,0,2457.059,29451,4.31
srofYuDjN_c,밥 먹을 때 우는 고양이,"Mar 29, 2024",24,2328,8.0994,0,274.352,14784,4.22
tzoh7ipRYKk,매워서 땀 흘리면 제로칼로리 매운치킨 먹방,"Jul 23, 2024",804,2327,166.6709,0,3934.105,39582,4.67
yj42k9g87Mg,야외 먹방 일기 홍익돈까스,"Oct 14, 2018",210,2318,70.2171,0,2669.217,31612,5.48
VJ4-TFTQeT8,저렴한 초밥 먹방입니다!!,"Nov 12, 2024",770,2311,222.0536,0,4611.705,43014,3.97
l-lVucjHzzs,핵이득 스지폭탄전골 먹방입니다!!,"Dec 23, 2024",790,2307,210.4714,1,4533.329,50183,3.05
6BdawXdX1s4,매운갈비찜 샤워 먹방입니다!!,"Aug 4, 2021",681,2279,198.1133,0,4122.992,25625,6.62
DQL_znl7T4s,안다이어트 일주일 브이로그,"Jan 2, 2023",775,2278,258.7379,2,5261.725,21888,5.71
cjpy3itIYT8,시청자분 집에서 김치찌개해먹기,"Apr 13, 2024",838,2275,203.1929,0,5949.755,12172,3.39
8Fo8kzcy3II,무생채비빔밥,"Nov 19, 2024",437,2271,117.4863,1,3852.323,40014,4.62
Lr9nmrDbRLk,밥 조금만 먹겠습니다 블랙라벨슈프림치킨 먹방,"Dec 8, 2022",528,2266,120.0103,0,4535.098,23019,8.73
DyUybQE0rfc,상위 3% 매운맛 마라탕 먹방입니다!!,"Oct 31, 2022",621,2265,186.3524,1,4642.699,30203,5.16
oi2StNh1vM0,저 1인분밖에 못 먹어요,"Nov 8, 2024",704,2252,188.0143,0,5209.066,40600,4.33
1n-CXJaLtqA,데이트꿀팁 양식 먹방입니다!!,"Oct 10, 2023",811,2246,251.2659,0,5597.497,21721,7.75
