콘텐츠,동영상 제목,동영상 게시 시간,길이,조회수,시청 시간(단위: 시간),구독자,예상 수익 (KRW),노출수,노출 클릭률 (%)
dkqcGibu8-8,기영이원피스 먹방,"Jun 26, 2025",733,30936,2753.2013,2,69163.921,354378,7.71
iW-ZgPf1UcE,기어 세컨드 곱도리탕 풀코스 먹방입니다!!,"Jan 10, 2024",1042,30809,3866.2131,25,71899.864,357451,4.92
6ctc_MphJEc,말라꺵이의 핫소스 비빔면 먹방,"Jun 19, 2025",792,29524,2911.141,7,79689.523,394699,6.34
5qMBy2WLsTI,국산 건더기 가득 컵라면,"Jun 24, 2025",440,29077,1724.0183,8,59704.813,363813,7.07
D5F0kRzwiUc,맥도날드 신메뉴 핫도그 이대로 괜찮은가,"Jun 14, 2025",274,29014,1065.0092,9,47937.487,317124,7.68
sTk3lAcn_AA,신메뉴탐방기 맵소디 귀엽네요,"May 22, 2025",479,28709,1831.8176,5,64242.64,433370,5.71
0RYnHtUusuw,신메뉴탐방기 버거킹 오리지널스,"Jun 18, 2025",350,28342,1344.5527,16,56022.312,421630,5.75
gAafG8nJgy8,한국에 없는 한국 라면,"Jun 8, 2025",296,28200,1189.3459,3,49741.644,433857,5.62
0uevJQgnAYs,인싸,"Jul 25, 2023",42,27788,153.6909,13,3698.155,123549,4.65
Sy-bcHcZ4js,맹구는 맵찔이다,"Jun 16, 2025",317,27636,1382.5838,5,61675.167,366542,6.51
80brsd0lujQ,소고기풀고스 먹방입니다!!,"Feb 17, 2025",984,27504,2894.883,22,62522.936,442265,4.49
tUbWaxdAy1Q,갬성 마 주긋다,"Nov 13, 2024",21,26807,64.9577,15,3316.707,92977,3.33
QwFhxx7DCnE,동근이 좀 치네 아주매운맛 먹방,"Oct 5, 2024",750,26131,2021.2016,32,49771.265,443380,4.56
FOokmICdDI0,터미널,"Feb 12, 2025",23,26090,68.0592,7,3148.923,144529,3.63
sdtygQO4zTA,소주는 치료제다 칼국수 먹방,"Jan 29, 2025",1098,25258,3544.1779,13,66128.923,334190,4.11
s0G_nBIHJ3Q,요로결석 썰,"Jan 30, 2024",56,25219,199.539,6,3088.584,22541,7.89
RBr6PTTFGfc,흰국물 라면은 건강식이다,"Jun 10, 2025",457,24792,1555.9832,4,57107.171,360050,5.72
DAcOoDeCG-U,닭갈비는 비싼 음식인가 닭갈비 먹방입니다,"Sep 24, 2023",1147,23899,3727.8681,7,63204.601,245524,4.26
lWhUu-9wnFI,살 안 찌는 닭볶음탕,"Sep 21, 2024",988,23719,2547.5564,18,51303.51,259332,6.25
INifnI3A7zI,노바시새우라면 먹방입니다!!,"Mar 10, 2025",1026,23675,2351.7542,21,51342.877,375426,4.39
Vxx9_kvK7Oc,저속노화 배달삼겹살 먹방입니다!!,"Mar 27, 2025",811,23417,1979.9212,17,49064.787,413926,4.15
BYIOxwuSeqY,냥터스텔라,"Nov 8, 2024",14,23326,40.971,4,1942.535,82482,3.93
FWmZiEhdLZE,저속노화 에드워드리 버거 먹방입니다!!,"Mar 29, 2025",720,22801,1805.5368,18,54587.715,392182,4.63
2lOXa0Zvchc,짜파게티vs불닭볶음면,"Nov 11, 2024",54,22685,101.5988,9,2980.139,120641,2.28
s_PtPTllOnQ,하삼동vs봄봄vs이디야 1인 컵빙수,"Jun 22, 2025",325,21700,1029.7505,0,44791.576,291968,6.42
mGbHrFEACSo,바밤바 삼행시,"Nov 22, 2021",27,20767,66.994,20,2446.996,55187,6.88
ciBVJOheUuM,극락,"Apr 9, 2023",46,20421,138.4696,11,3186.395,102091,5.44
oE6en01iLJY,캠사이신짬뽕 먹방,"Jan 23, 2025",1020,19892,2180.1158,14,44851.594,286872,4.92
bA6qv9J5kFI,나는 나쁜남자,"Nov 9, 2024",21,19514,51.5102,3,1903.768,95047,0.9
7Te_eywy4uw,부대찌개에 밥 한공기만 먹었습니다,"Mar 23, 2025",606,19410,1158.1231,14,34625.998,244468,6.27
UISBVg5R_oQ,가스라이팅 순살아구찜 먹방입니다!!,"Jan 29, 2024",1265,18706,2682.2755,8,48431.892,181436,5.89
HeIwUnRPiGM,치킨이 매워봤자 치킨이지 디진다치밥,"May 28, 2024",710,18605,1534.8134,21,36201.886,250571,5.64
3KqDq7Aye3M,나는 초밥만 먹으려고 했었다,"Feb 20, 2024",1455,18275,3430.9241,10,58319.6,202352,4.68
aGe7KsMm-QY,친구들과 햄버거 안 먹는 이유,"Oct 20, 2024",36,18231,83.6514,1,2312.057,39964,2.74
wsZmsGv2XZE,도나쓰 맛있게 묵는 법,"Nov 7, 2024",25,18212,55.2651,10,2215.209,54383,1.64
97JyIc4uy8Y,행운버거 근본,"Apr 26, 2024",32,18162,82.6434,3,2582.609,37462,5.82
1QzXH5Awcjs,페리카나 신제품 홍단치킨,"Oct 15, 2024",60,18043,93.2993,5,2250.439,65332,4.34
XuBGZFeQpFU,고양이팔자 상팔자,"Aug 26, 2022",60,17693,119.3024,3,1924.804,18305,4.21
kD8oI_Qya1A,다이어트 제육먹방,"May 19, 2023",35,17378,83.9711,17,2494.406,106706,4.56
NQzeZTEv2pU,볼케이노치밥,"Jun 24, 2023",46,17288,103.2874,9,2354.914,78225,6.2
o-nSE8G-ju8,저당 골뱅이비빔면 만들어 먹기,"Jun 27, 2025",460,17010,1096.5112,4,,228937,6.47
hE63lSz7JrQ,점보냉면 안 먹은 이유,"Nov 5, 2024",21,16884,49.1906,6,1949.543,58338,1.75
2NWSCQmKNho,공짜 치킨 먹방입니다!!,"Dec 27, 2023",1060,16711,2357.1717,2,43239.376,154326,5.26
uOdJTIQglSE,택새시핫도그 먹방,"Dec 1, 2024",901,16609,1587.6738,6,38482.515,281662,4.87
D78wH71iY90,내 초글링 시절 치맥 먹방,"Dec 29, 2024",1440,16478,2925.3543,7,49188.53,215749,4.43
